B2094750D664A4FD429B, 31, 护国寺小吃店(看丹桥店) 116.28862, 39.84114, 64 69 80, 北京菜, 丰台区丰台南路168号(近千禧百旺超市)
B2094654D36CA1FC469E, 424, 韩庄子第二社区 116.28982, 39.83784, 44 47, 住宅区, 花乡
B2094654D36CA3FF4193, 63, 北京市丰台第一中学 116.29496, 39.8443, 51 55, 中学, 
B2094757D669A4F9459E, 1, 牛二奶奶（新华街店） 116.29094, 39.84349, 64 67, 甜品店, 丰台区新华街供热厂北门面8号
B2094654D36AA3F54798, 121, 写字公园 116.286912, 39.840279, 44 46, 楼宇, 丰台区丰台科学城星火路11号北京电子科技大学
B2094654D36CA1F94292, 443, 造甲南里20号小区 116.30111, 39.84096, 44 47, 住宅区, 造甲南里20
B2094757D06BA7F4459F, 277, 新华街七里 116.294076, 39.848724, 500, 未知分类, 丰台区新华街,新华街七里住宅小区内
B2094757D16FA7F94592, 28, 三毛串店 116.2961, 39.84462, 64 68, 快餐厅, 丰台区造甲街(丰台桥南)
B2094757D66DA4FD429C, 25, 福顺居（丰台桥南店） 116.28823, 39.84276, 64 69 80, 北京菜, 丰台区丰台桥南新华街西
B2094757D56FA1FE409E, 520, 南开西里 116.286243, 39.845935, 44 47, 住宅区, 丰台区看丹桥西看丹路南
B2094654D36CA3FF479F, 7, 馒头店 116.29355, 39.84185, 64 247, 餐饮美食, 
B2094654D36CA3F9419A, 29, 稻香村（看丹桥店） 116.28781, 39.84273, 64 68, 快餐厅, 丰台区新华街七里10号楼(看丹桥南对面)
B2094757D668A0FF4099, 45, 牛B奶奶台湾珍珠奶茶 造甲店 116.29553, 39.8451, 64 67, 甜品店, 丰台区造甲街1号(近丰台一中)
B2094654D16DA2FB439F, 29, 丰台南路小区 116.2928, 39.84183, 44 47, 住宅区, 丰台南路103-105
B2094757D56FA3F4439A, 19, 审美造型 116.29072211, 39.84170492, 19 148, 美容美发店, 中国北京市丰台区丰台南路
B2094654D068A5F94192, 69, 新华街七里住宅小区 116.28772, 39.84244, 44 47, 住宅区, 
B2094654D36CA3F8489F, 5, 克丽缇娜(新华街) 116.29038, 39.84346, 19 148, 美容美发店, 丰台区新华街五里
B2094757D16FABF8449E, 13, 丰台医院南区 116.289969, 39.841065, 19 162, 医院, 北京韩庄子路
B2094654D36CA3F84192, 19, 桑田园茶馆 116.291, 39.84183, 260, 其他, 丰台区丰台南路(近向阳街)
B2094757D069A4FF429F, 66, 看丹桥公交车站 116.286219, 39.840241, 19 38, 公交车站, 北京市丰台区西四环看丹桥
B2094654D068A5F94892, 12, 老家肉饼（丰台桥南店） 116.286941, 39.841266, 64 68, 快餐厅, 丰台区看丹桥车站附近(味多美对面)
B2094757D165A2F9469F, 26, DQ冰淇淋 科丰路店 116.28986469, 39.837396995, 64 113, 冷饮店, 丰台区邻枫路1号欧尚超市1楼1002室
B2094654D36CA3FE4699, 90, 三毛烧烤店 116.29554, 39.84598, 64 269, 烧烤, 
B2094654D36CA1FC499A, 10, 金千方老鸭汤富丰桥店 116.2908, 39.83694, 64 69 257, 中餐厅, 北京丰台区韩庄子三里9号楼1楼富丰桥店  
B2094654D16EA4FD489F, 29, 丰台南路108号院 116.29538, 39.8416, 44 47, 住宅区, 
B2094654D36CA3FF4692, 13, 北京丰台医院 116.29586, 39.84337, 19 162, 医院, 丰台南路99号
B2094654D36AA3F4499D, 139, 总部国际 116.293044, 39.83416, 44 46, 楼宇, 丰台区西南四环科丰桥总部基地西侧
B2094654D36CA1FF429A, 44, 丰台第五幼儿园 116.29252, 39.84017, 51 57, 幼儿园, 丰台区丰桥路7号三环新城7号院(近三环新城美食街)
B2094654D16DABFF479B, 1104, 建国街 116.294752, 39.851906, 44 47, 住宅区, 造甲街
B2094654D36AA3FD4492, 87, 迪欧咖啡（怡海花园店） 116.2952, 39.83449, 64 69 257, 中餐厅, 丰台区西四环恒富中街5号院(近怡海花园西门)
B2094654D36CA3F9459D, 105, 丰台铁路单身公寓 116.28471, 39.84476, 44 47, 住宅区, 
B2094654D16DA3F5429C, 44, 新村一里 116.2956119705954, 39.83955098077705, 44 47, 住宅区, 丰台区丰台新村一里
B2094750D665A4FF4698, 5, 小米加步枪 116.291, 39.8398, 64 269, 烧烤, 丰台区韩庄子丰台生态园(近691终点站)
B2094757DA6EA7F9479E, 56, 巴黎贝甜(欧尚科兴店) 116.288882000002, 39.836361, 64 67, 甜品店, 丰台区邻枫路1号欧尚超市1楼
B2094654D36CA3FF469D, 7, 北京市丰台区体检中心 116.2956, 39.84343, 19 162, 医院, 
B2094654D069ABFA4198, 211, 新华街六里住宅小区 116.28327058674552, 39.84076494412801, 44 47, 住宅区, 
B2094757D16EA2FD499B, 70, 芦月轩(科丰店) 116.29308, 39.83344, 64 69 86, 火锅店, 丰台区科学城帝京路5号楼C座(科丰桥东)
B2094654D16BAAFF499F, 5, 丰台公安分局卢沟桥派出所 116.291, 39.84362, 44 609, 警察局, 北京市丰台区晓月苑小区三里13号
B2094757D664A2FB429E, 16, 烤翅王 116.281188, 39.838237, 64 269, 烧烤, 丰台区看丹桥西(近北京电子科技学院东门)
B2094654D06EA4F44498, 9, 丰铁电影院 116.288058, 39.840883, 169 178, 电影院, 丰台南路122号
B2094654D36CA1FF439E, 19, 丰台南路108号住宅小区 116.29557, 39.84123, 44 47, 住宅区, 
B2094654D36CA3F84598, 96, 新华街四里 116.28415688296694, 39.841016917142966, 44 47, 住宅区, 
B2094757D669A3F9449E, 19, 保定火烧铺 116.28524, 39.84716, 64 68, 快餐厅, 丰台区东大街西口(近丰台火车站)
B2094654D66CA5F4439C, 33, 正一味（富丰桥店） 116.2854, 39.83763, 64 93 96, 韩国料理, 丰台区西四环南路1号资和信百货B1楼(看丹桥南侧)
B2094654D36CA1FD4798, 29, 羊满墙（科兴路店） 116.29592, 39.83663, 64 69 86, 火锅店, 丰台区科兴路5号
B2094757D06BA3FD409C, 72, 呷哺呷哺(资和信店) 116.28559, 39.83689, 64 69 86, 火锅店, 丰台区西四环南路1号资和信百货B1楼
B2094757D16AA4F4449B, 18, 呷哺呷哺（欧尚店） 116.29093769, 39.836642008, 64 69 86, 火锅店, 丰台区邻枫路1号欧尚超市3楼
B2094757D66DAAF8409E, 3, 丰台五幼 116.29165169, 39.839401958, 51 57, 幼儿园, 北京市丰台区西四环南路辅路
B2094757DB6DA2F9439F, 325, 怡海花园恒泰园 116.29452124250922, 39.83375326565822, 19 251, 出行住宿, 北京 北京市 怡海花园恒泰园
B2094654D16EA3F8499D, 98, 西陆名门小区 116.30007, 39.84251, 44 47, 住宅区, 海淀区四季青杏石口路99号
B2094751D36CABFC479E, 17, 比格比萨(资和信百货店) 116.286178, 39.83675, 64 93 94, 西餐厅, 丰台区西南四环南路1号资和信百货7楼(近看丹桥)
B2094654D16EA5F9419A, 36, 韩庄子四里 116.29213, 39.83829, 44 47, 住宅区, 
B2094654D164A4F9489F, 4, 风和日丽 116.295397, 39.845648, 44 47, 住宅区, 丰台区西南四环内200米
